"","GIDSTCO","covid_count","StateAbbr","Geog_Level","State","State_name","County","County_name","Tot_Population_CEN_2010","Tot_Population_ACS_14_18","pct_URBANIZED_AREA_POP_CEN_2010","pct_URBAN_CLUSTER_POP_CEN_2010","pct_Males_ACS_14_18","pct_Pop_under_5_ACS_14_18","pct_Pop_5_17_ACS_14_18","pct_Pop_25_44_ACS_14_18","pct_Pop_45_64_ACS_14_18","pct_Pop_65plus_ACS_14_18","pct_Hispanic_ACS_14_18","pct_NH_White_alone_ACS_14_18","pct_NH_Blk_alone_ACS_14_18","pct_NH_Asian_alone_ACS_14_18","pct_Othr_Lang_ACS_14_18","pct_Age5p_Spanish_ACS_14_18","pct_Age5p_French_ACS_14_18","pct_Age5p_German_ACS_14_18","pct_Age5p_Russian_ACS_14_18","pct_Age5p_OthEuro_ACS_14_18","pct_Age5p_Korean_ACS_14_18","pct_Age5p_Chinese_ACS_14_18","pct_Age5p_Vietnames_ACS_14_18","pct_Age5p_Tagalog_ACS_14_18","pct_Age5p_OthAsian_ACS_14_18","pct_Age5p_Arabic_ACS_14_18","pct_Age5p_OthUnSp_ACS_14_18","pct_Not_HS_Grad_ACS_14_18","pct_College_ACS_14_18","pct_Pov_Univ_ACS_14_18","pct_Prs_Blw_Pov_Lev_ACS_14_18","pct_No_Health_Ins_ACS_14_18","pct_Civ_unemp_16p_ACS_14_18","pct_Civ_unemp_16_24_ACS_14_18","pct_Civ_unemp_25_44_ACS_14_18","pct_Civ_unemp_45_64_ACS_14_18","pct_Pop_Disabled_ACS_14_18","pct_Diff_HU_1yr_Ago_ACS_14_18","pct_Born_foreign_ACS_14_18","pct_US_Cit_Nat_ACS_14_18","pct_NON_US_Cit_ACS_14_18","pct_Children_in_Pov_ACS_14_18","pct_NoHealthIns_U19_ACS_14_18","pct_NoHealthIns1964_ACS_14_18","pct_NoHealthIns_65P_ACS_14_18","pct_Schl_Enroll_3_4_ACS_14_18","pct_Pop_NoCompDevic_ACS_14_18","pct_Pop_w_BroadComp_ACS_14_18","pct_ENG_VW_SPAN_ACS_14_18","pct_ENG_VW_INDOEURO_ACS_14_18","pct_ENG_VW_API_ACS_14_18","pct_ENG_VW_OTHER_ACS_14_18","pct_ENG_VW_ACS_14_18","pct_Rel_Family_HHD_ACS_14_18","pct_MrdCple_HHD_ACS_14_18","pct_Female_No_HB_ACS_14_18","pct_Sngl_Prns_HHD_ACS_14_18","pct_HHD_PPL_Und_18_ACS_14_18","pct_Rel_Under_6_ACS_14_18","pct_HHD_Moved_in_ACS_14_18","pct_PUB_ASST_INC_ACS_14_18","pct_Vacant_Units_ACS_14_18","pct_Renter_Occp_HU_ACS_14_18","pct_MLT_U2_9_STRC_ACS_14_18","pct_MLT_U10p_ACS_14_18","pct_Mobile_Homes_ACS_14_18","pct_Crowd_Occp_U_ACS_14_18","pct_NO_PH_SRVC_ACS_14_18","pct_No_Plumb_ACS_14_18","pct_Recent_Built_HU_ACS_14_18","pct_MrdCple_w_child_ACS_14_18","pct_HHD_NoCompDevic_ACS_14_18","pct_HHD_w_OnlySPhne_ACS_14_18","pct_HHD_No_Internet_ACS_14_18","covid_community_level","covid_transmission_level","high_community_level"
"1",1001,13251,"AL","County",1,"Alabama",1,"Autauga County",54571,55200,58,0,48.68,5.91,18.31,26.16,26.59,14.58,2.77,75.02,18.98,1.03,3.85,0.75,0,0.02,0,0.01,0.04,0.16,0.21,0.11,0.05,0,0,11.31,27.69,99.21,15.38,7.02,4.23,13.1,3.61,2.23,19.28,14.05,2.02,1.05,0.97,22.72,2.28,11.02,0,31.27,8.18,84,0.21,0.04,0.4,0,0.65,71.8,56.77,11.39,25.11,36.08,19.63,41.46,1.35,9.44,25.11,4.15,3.8,18.35,1.42,2.06,2.83,1.9,46.04,13.01,5.59,19.03,"Medium","High",FALSE
"2",1003,50313,"AL","County",1,"Alabama",3,"Baldwin County",182265,208107,34.92,22.8,48.62,5.58,16.37,23.4,27.69,19.54,4.49,83.02,9.38,0.8,5.39,1.21,0.07,0.01,0.05,0.03,0.03,0.1,0.07,0.02,0.1,0,0,9.74,31.35,98.47,10.57,10.03,4.44,10.9,3.9,3.23,14.05,11.41,3.45,1.59,1.85,13.38,4.12,15.95,0.41,41.85,7.21,83.03,1.06,0.16,0.21,0,1.42,65.32,52.72,9.52,30.39,26.25,14.45,48.59,1.37,29.77,26.38,6.26,18.31,11.68,1.26,3.61,0.8,2.6,35.76,11.43,7.24,16.83,"Medium","High",FALSE
"3",1005,5054,"AL","County",1,"Alabama",5,"Barbour County",27457,25782,0,32.21,53.13,5.39,15.69,26.29,26.22,17.97,4.29,46.15,47.32,0.33,6.13,1.92,0.02,0.19,0,0,0.2,0,0.05,0,0,0,0,26.97,12.22,88.65,28.86,9.92,9.52,15.11,14.16,4.11,22.19,15.41,2.51,1.09,1.42,47.6,3.05,18.62,0.29,27.76,18.02,64.92,0.95,0.17,0.35,0,1.47,65.64,42.54,19.33,32.55,31.66,21.53,39.81,2.84,23.05,38.6,12.22,1.27,29.19,3.41,2.87,4.78,0.76,36.13,23.95,10.59,34.11,"High","High",TRUE
"4",1007,5795,"AL","County",1,"Alabama",7,"Bibb County",22915,22527,0,31.65,53.94,5.66,15.02,26.5,27.3,16.25,2.43,74.58,22.08,0.16,2.37,1.27,0,0,0,0,0,0,0,0,0,0,0,16.79,11.49,90.86,13.99,7.19,7.51,21.16,8.79,2.66,16.67,11.38,1.44,0.57,0.87,20.19,1.77,12.67,0,9.76,17.2,72.83,0.69,0,0,0,0.69,72.32,53.01,13.65,25.96,29.17,13.95,33.83,4.47,25.34,24.93,3.59,2.42,28.54,0.76,3.49,15.52,1.62,39.38,23.73,11.54,29.24,"High","High",TRUE
"5",1009,13427,"AL","County",1,"Alabama",9,"Blount County",57322,57645,0.67,9.38,49.33,6.05,17.32,24.18,26.81,17.75,9.13,87.14,1.42,0.34,7.96,3.18,0,0,0,0.05,0,0,0,0.01,0.02,0.02,0.02,19.84,12.64,99.02,14.4,10.93,4.08,11.58,3.46,2.94,14.19,6.21,4.36,1.52,2.84,21.57,6.5,16.08,0.63,16.03,14.39,74.34,1.36,0.07,0,0.02,1.46,73.32,57.97,9.6,24.71,31.16,19.45,32.91,1.59,14.95,21.37,4.07,0.87,25.22,1.65,3.02,3.34,1.26,38.63,21.35,8.55,27.35,"High","High",TRUE
"6",1011,2149,"AL","County",1,"Alabama",11,"Bullock County",10914,10352,0,48.63,54.7,5.76,15.01,26.27,26.75,15.61,0.49,21.52,76.25,0.54,1.91,0.62,0.07,0.14,0,0,0,0,0,0,0,0,0,24.77,13.3,95.72,31.39,10.39,11.06,32.06,13.15,4.23,14.44,8.12,0.93,0.93,0,55.93,1.88,16.79,1.26,76.86,18.88,61.98,0.86,0.19,0,0,1.05,68.74,39.01,24.47,29.62,35.8,15.6,33.25,4.38,20.26,24.47,8.79,1.68,33.38,0,4.54,7.93,1.55,32.81,27.1,13.99,31.95,"Medium","Substantial",FALSE
"7",1013,4519,"AL","County",1,"Alabama",13,"Butler County",20947,20025,0,28.77,46.78,6.02,16.78,24.09,26.25,19.01,0.33,51.86,45.08,1.15,1.45,0.07,0,0,0,0.05,0.43,0,0,0.05,0,0,0,15.42,16.09,98.41,23.54,10.01,6.71,12.65,6.79,5.18,17.7,7.69,1.37,0.69,0.68,35.01,2.12,16.84,0,29.29,24.69,65.04,0.19,0,0.25,0,0.45,66.03,44.51,18.47,30.5,27.83,15.2,33.9,1.48,33.09,30.05,10.95,1.34,26.18,1.77,2.59,19.07,0.54,31.11,29.89,7.05,33.65,"Low","High",FALSE
"8",1015,28519,"AL","County",1,"Alabama",15,"Calhoun County",118572,115098,63.21,3.09,48.06,5.7,16.19,25.08,26.84,16.84,3.65,72.48,20.52,0.93,4.18,1.19,0.02,0.03,0.01,0.11,0.13,0.03,0.07,0,0.06,0,0,15.95,17.97,97.29,18.59,9.28,8.77,16.58,10.66,4.42,20.78,16.69,2.66,1.3,1.36,26.18,1.96,14.93,0.26,43.07,10.05,77.56,0.68,0.12,0.25,0,1.05,68.47,47.73,16.36,26.8,31.31,20.55,42.45,1.71,16.11,30.53,8.61,3.71,14.72,1.71,1.63,2.27,1.06,36.49,15.34,7.28,21.94,"High","High",TRUE
"9",1017,7882,"AL","County",1,"Alabama",17,"Chambers County",34215,33826,0,50.85,48.06,5.76,14.95,22.66,28.06,18.95,2.27,55.79,39.38,1.2,2.19,0.2,0,0.03,0,0.08,0.51,0,0,0,0,0,0,18.6,13.23,98.37,16.62,10.68,4.97,13.08,3.75,3.2,16.66,10.99,1.39,0.22,1.17,23.7,5.47,16.07,0.19,53.77,17.95,72.76,0.3,0.07,0.19,0,0.57,64.06,42.27,16,31.62,25.85,16.48,39.13,0.75,20.41,32.24,9.26,4,14,2.99,2.14,4.97,1.05,31.86,24.24,8.76,30.82,"Medium","Substantial",FALSE
"10",1019,4529,"AL","County",1,"Alabama",19,"Cherokee County",25989,25853,0,14.26,49.59,4.66,15.79,21.07,29.42,21.74,1.54,91.79,4.9,0.16,1.23,0.48,0,0,0.05,0,0,0,0,0,0,0,0,19.77,12.89,98.64,15.01,8.25,5.59,19.2,4.3,2.91,19.97,9.83,0.79,0.5,0.29,17.85,1.51,13.97,0.22,39.87,12.72,75.61,0.63,0.11,0,0,0.74,69.13,57.16,9.61,28.27,27.24,14.68,33.02,1.43,35.84,21.04,2.77,2,29.19,1.46,2.92,3.8,0.86,35.63,19.9,11.8,26.01,"High","High",TRUE
